TagName,Match Title,Content Title,Content Value
Premium Criket,1st Innings Over 4 - Brisbane Heat Total,Under 8.5,1.72
Premium Criket,1st Innings Over 4 - Brisbane Heat Total,Over 8.5,1.97
Premium Criket,1st Innings Over 4 - Brisbane Heat Odd/Even,Even,1.87
Premium Criket,1st Innings Over 4 - Brisbane Heat Odd/Even,Odd,1.87
Premium Criket,1st Innings Over 5 - Brisbane Heat Total,Under 8.5,1.44
Premium Criket,1st Innings Over 5 - Brisbane Heat Total,Over 8.5,2.54
Premium Criket,"1st Innings - Harris, Grace Total",Over 34.5,2.18
Premium Criket,"1st Innings - Harris, Grace Total",Under 34.5,1.61
Premium Criket,1st Innings Over 5 - Brisbane Heat Total,Under 7.5,1.67
Premium Criket,1st Innings Over 5 - Brisbane Heat Total,Over 7.5,2.04
Premium Criket,"1st Innings - Voll, Georgia Total",Under 31.5,1.57
Premium Criket,"1st Innings - Voll, Georgia Total",Over 31.5,2.26
Premium Criket,1st Innings Over 4 - 1st Delivery Brisbane Heat Total,Under 0.5,2.14
Premium Criket,1st Innings Over 4 - 1st Delivery Brisbane Heat Total,Over 0.5,1.63
Premium Criket,1st Innings Over 5 - Brisbane Heat Odd/Even,Even,1.87
Premium Criket,1st Innings Over 5 - Brisbane Heat Odd/Even,Odd,1.87
Premium Criket,1st Innings Over 4 - 1st Delivery Brisbane Heat Total,Under 1.5,1.28
Premium Criket,1st Innings Over 4 - 1st Delivery Brisbane Heat Total,Over 1.5,3.35
Premium Criket,1st Innings Over 4 - 1st Delivery Brisbane Heat Total,Under 3.5,1.21
Premium Criket,1st Innings Over 4 - 1st Delivery Brisbane Heat Total,Over 3.5,4
Premium Criket,"1st Innings - Voll, Georgia Total Fours",Under 4.5,1.58
Premium Criket,"1st Innings - Voll, Georgia Total Fours",Over 4.5,2.08
Premium Criket,1st Innings - Brisbane Heat Total At 2nd Dismissal,Over 37.5,1.83
Premium Criket,1st Innings - Brisbane Heat Total At 2nd Dismissal,Under 37.5,1.83
Premium Criket,"1st Innings - Harris, Grace Total",Over 24.5,1.64
Premium Criket,"1st Innings - Harris, Grace Total",Under 24.5,2.14
Premium Criket,1st Innings Overs 0 To 12 - Brisbane Heat Total,Under 84.5,2.18
Premium Criket,1st Innings Overs 0 To 12 - Brisbane Heat Total,Over 84.5,1.53
Premium Criket,"1st Innings - Harris, Grace Total Fours",Over 2.5,1.91
Premium Criket,"1st Innings - Harris, Grace Total Fours",Under 2.5,1.7
Premium Criket,1st Innings Overs 0 To 6 - Brisbane Heat Total,Under 42.5,1.84
Premium Criket,1st Innings Overs 0 To 6 - Brisbane Heat Total,Over 42.5,1.76
Premium Criket,1st Innings - Brisbane Heat 2nd Dismissal Method (Extended),Other,320
Premium Criket,1st Innings - Brisbane Heat 2nd Dismissal Method (Extended),Run Out,12.5
Premium Criket,1st Innings - Brisbane Heat 2nd Dismissal Method (Extended),Stumped,8.6
Premium Criket,1st Innings - Brisbane Heat 2nd Dismissal Method (Extended),Keeper Catch,11
Premium Criket,1st Innings - Brisbane Heat 2nd Dismissal Method (Extended),Lbw,8.2
Premium Criket,1st Innings - Brisbane Heat 2nd Dismissal Method (Extended),Fielder Catch,1.57
Premium Criket,1st Innings - Brisbane Heat 2nd Dismissal Method (Extended),Bowled,4.9
Premium Criket,"1st Innings - Harris, Grace Total",Over 29.5,1.85
Premium Criket,"1st Innings - Harris, Grace Total",Under 29.5,1.85
Premium Criket,"1st Innings - Harris, Grace To Score 25",Yes,1.64
Premium Criket,"1st Innings - Harris, Grace To Score 25",No,2.14
Premium Criket,1st Innings Overs 0 To 10 - Brisbane Heat Total,Under 69.5,2.18
Premium Criket,1st Innings Overs 0 To 10 - Brisbane Heat Total,Over 69.5,1.54
Premium Criket,1st Innings Overs 0 To 12 - Brisbane Heat Total,Under 88.5,1.8
Premium Criket,1st Innings Overs 0 To 12 - Brisbane Heat Total,Over 88.5,1.8
Premium Criket,"1st Innings - Harris, Grace Dismissal Method",Other,330
Premium Criket,"1st Innings - Harris, Grace Dismissal Method",Run Out,13
Premium Criket,"1st Innings - Harris, Grace Dismissal Method",Stumped,8.8
Premium Criket,"1st Innings - Harris, Grace Dismissal Method",Keeper Catch,11
Premium Criket,"1st Innings - Harris, Grace Dismissal Method",Lbw,8.6
Premium Criket,"1st Innings - Harris, Grace Dismissal Method",Fielder Catch,1.52
Premium Criket,"1st Innings - Harris, Grace Dismissal Method",Bowled,5.1
Premium Criket,1st Innings Overs 0 To 10 - Brisbane Heat Total,Under 72.5,1.84
Premium Criket,1st Innings Overs 0 To 10 - Brisbane Heat Total,Over 72.5,1.77
Premium Criket,"1st Innings - Voll, Georgia To Score 25",Yes,1.73
Premium Criket,"1st Innings - Voll, Georgia To Score 25",No,1.99
Premium Criket,"1st Innings - Voll, Georgia Dismissal Method",Other,310
Premium Criket,"1st Innings - Voll, Georgia Dismissal Method",Run Out,12
Premium Criket,"1st Innings - Voll, Georgia Dismissal Method",Stumped,8.4
Premium Criket,"1st Innings - Voll, Georgia Dismissal Method",Keeper Catch,10.5
Premium Criket,"1st Innings - Voll, Georgia Dismissal Method",Lbw,8
Premium Criket,"1st Innings - Voll, Georgia Dismissal Method",Fielder Catch,1.63
Premium Criket,"1st Innings - Voll, Georgia Dismissal Method",Bowled,4.8
Premium Criket,1st Innings Overs 0 To 10 - Brisbane Heat Total,Over 75.5,2.08
Premium Criket,1st Innings Overs 0 To 10 - Brisbane Heat Total,Under 75.5,1.59
Premium Criket,1st Innings Overs 0 To 12 - Brisbane Heat Total,Under 92.5,1.54
Premium Criket,1st Innings Overs 0 To 12 - Brisbane Heat Total,Over 92.5,2.18
Premium Criket,1st Innings - Brisbane Heat Top Batter,"Glenn, Sarah",50
Premium Criket,1st Innings - Brisbane Heat Top Batter,"Du Preez, Mignon",4.3
Premium Criket,1st Innings - Brisbane Heat Top Batter,"Hancock, Nicola",140
Premium Criket,1st Innings - Brisbane Heat Top Batter,"Redmayne, Georgia",1
Premium Criket,1st Innings - Brisbane Heat Top Batter,"Harris, Grace",2.46
Premium Criket,1st Innings - Brisbane Heat Top Batter,"Voll, Georgia",3.1
Premium Criket,1st Innings - Brisbane Heat Top Batter,"Jonassen, Jess",9.4
Premium Criket,1st Innings - Brisbane Heat Top Batter,"Sippel, Courtney Grace",180
Premium Criket,1st Innings - Brisbane Heat Top Batter,"Knott, Charli",12.5
Premium Criket,1st Innings - Brisbane Heat Top Batter,"Hinkley, Mikayla",23
Premium Criket,1st Innings - Brisbane Heat Top Batter,"Heath, Bess",7
Premium Criket,"1st Innings - Voll, Georgia Total",Over 26.5,1.85
Premium Criket,"1st Innings - Voll, Georgia Total",Under 26.5,1.85
Premium Criket,"1st Innings - Voll, Georgia Total",Over 21.5,1.55
Premium Criket,"1st Innings - Voll, Georgia Total",Under 21.5,2.32
Premium Criket,1st Innings Over 3 - 6th Delivery Brisbane Heat Total,Over 1.5,3.25
Premium Criket,1st Innings Over 3 - 6th Delivery Brisbane Heat Total,Under 1.5,1.3
Premium Criket,1st Innings Over 3 - 6th Delivery Brisbane Heat Total,Over 3.5,3.8
Premium Criket,1st Innings Over 3 - 6th Delivery Brisbane Heat Total,Under 3.5,1.23
Premium Criket,1st Innings Over 3 - 6th Delivery Brisbane Heat Total,Over 0.5,1.63
Premium Criket,1st Innings Over 3 - 6th Delivery Brisbane Heat Total,Under 0.5,2.14
Premium Criket,"1st Innings - Voll, Georgia To Score 50",No,1.19
Premium Criket,"1st Innings - Voll, Georgia To Score 50",Yes,4.2
Premium Criket,Winner (Incl. Super Over),Brisbane Heat,1.63
Premium Criket,Winner (Incl. Super Over),Adelaide Strikers,2.3
Premium Criket,"1st Innings - Harris, Grace To Score 50",No,1.3
Premium Criket,"1st Innings - Harris, Grace To Score 50",Yes,3.2
Premium Criket,1st Innings Over 4 - Brisbane Heat Total,Over 7.5,1.7
Premium Criket,1st Innings Over 4 - Brisbane Heat Total,Under 7.5,1.99
Premium Criket,Will There Be A Tie,No,1.01
Premium Criket,Will There Be A Tie,Yes,15
